Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
9.43616E-10,0.000000094,0.00000076,1,0,0
1.00902E-9,0.000000195,0.000000813,0.999903549,0,0
1.1403E-9,0.000000309,0.000000918,0.999807099,0,0
1.54437E-9,0.000001024,0.000001244,0.999324846,0,0
1.77136E-9,0.000002511,0.000001427,0.99845679,0,0
2.22914E-9,0.000010212,0.000001795,0.994791667,0,0
2.71489E-9,0.000025121,0.000002187,0.988908179,0,0
3.38104E-9,0.000050186,0.000002723,0.981095679,0,0
4.22051E-9,0.000100335,0.000003399,0.968557099,0,0
5.50678E-9,0.000250213,0.000004436,0.938850309,0,0
7.44719E-9,0.000500549,0.000005998,0.901716821,0,0
1.03409E-8,0.001000544,0.000008329,0.847415123,0,0
1.92457E-8,0.002501489,0.000015502,0.744212963,0,0
4.49013E-8,0.005001024,0.000036165,0.659625772,0,0
1.22895E-7,0.010002904,0.000098978,0.59538966,0,0
2.91098E-7,0.025026798,0.000234415,0.523148148,0,0
5.28136E-7,0.050032258,0.000425215,0.463348765,0,0
1.12618E-6,0.100040027,0.000906277,0.400945216,0,0
2.4356E-6,0.200077616,0.001957953,0.34538966,0,0
3.40137E-6,0.300256893,0.002732206,0.312210648,0,0
4.28069E-6,0.400038895,0.003436109,0.287037037,0,0
5.20706E-6,0.500120794,0.004176593,0.266589506,0,0
6.00239E-6,0.600489722,0.004811465,0.249324846,0,0
6.97493E-6,0.700607482,0.00558669,0.234375,0,0
7.42723E-6,0.750430037,0.005946809,0.227719907,0,0
7.93344E-6,0.800308034,0.006349548,0.221450617,0,0
8.9724E-6,0.900502022,0.007175117,0.210069444,0,0
1.00901E-5,1.000311595,0.008061737,0.19994213,0,0
1.12699E-5,1.100152369,0.008995881,0.190875772,0,0
1.26985E-5,1.201086798,0.010124684,0.18277392,0,0
1.38111E-5,1.300515539,0.011001981,0.175540123,0,0
1.51044E-5,1.400157436,0.012019868,0.168885031,0,0
1.67593E-5,1.500510633,0.013319277,0.162808642,0,0
2.11437E-5,1.752058305,0.016745329,0.14998071,0,0
2.6566E-5,2.002127052,0.020949734,0.139756944,0,0
3.18681E-5,2.250669682,0.025026293,0.131462191,0,0
